session,representation,state,window_size,window_id,rho_star,sampling_rate,m,tau_seconds,tau_samples,n_horizons,hmax_seconds,hmax_samples,theiler_seconds,theiler_samples,M,master_seed,CC_original,CC_surrogate_mean,CC_surrogate_sd,CC_surrogate_median,CC_rank,CC_p,CC_reject,CC_direction,NRMSE_original,NRMSE_surrogate_mean,NRMSE_surrogate_sd,NRMSE_surrogate_median,NRMSE_rank,NRMSE_p,NRMSE_reject,NRMSE_direction,DET_original,DET_surrogate_mean,DET_surrogate_sd,DET_surrogate_median,DET_rank,DET_p,DET_reject,DET_direction,Lmean_original,Lmean_surrogate_mean,Lmean_surrogate_sd,Lmean_surrogate_median,Lmean_rank,Lmean_p,Lmean_reject,Lmean_direction,ENTR_original,ENTR_surrogate_mean,ENTR_surrogate_sd,ENTR_surrogate_median,ENTR_rank,ENTR_p,ENTR_reject,ENTR_direction,Lmax_original,Lmax_surrogate_mean,Lmax_surrogate_sd,Lmax_surrogate_median,Lmax_rank,Lmax_p,Lmax_reject,Lmax_direction,LAM_original,LAM_surrogate_mean,LAM_surrogate_sd,LAM_surrogate_median,LAM_rank,LAM_p,LAM_reject,LAM_direction,TT_original,TT_surrogate_mean,TT_surrogate_sd,TT_surrogate_median,TT_rank,TT_p,TT_reject,TT_direction,Vmax_original,Vmax_surrogate_mean,Vmax_surrogate_sd,Vmax_surrogate_median,Vmax_rank,Vmax_p,Vmax_reject,Vmax_direction
21,Processed,Awake,60,1,79.52707287670508,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.5568846835558093,0.3824539858915043,0.03832887361812244,0.3819084948397293,40.0,0.05,True,higher,0.7438120675124941,0.9088426771351056,0.01798470508460782,0.9097435430698897,1.0,0.05,True,lower,0.6206747612420214,0.34833869239013937,0.01976304063805499,0.3462590584057206,40.0,0.05,True,higher,3.7260155574762317,2.59868493032592,0.06263441563440701,2.5909722222222222,40.0,0.05,True,higher,1.1299412626411285,0.8248013738068483,0.048085584829041385,0.8149308868240905,40.0,0.05,True,higher,106.0,31.71794871794872,7.890529693208574,29.0,40.0,0.05,True,higher,0.22325670681959975,0.30153154583254893,0.031434375217409674,0.30033114171905745,1.0,0.05,True,lower,2.0407984207062952,2.1252722894860003,0.026706628008239454,2.122888659083075,1.0,0.05,True,lower,3.0,4.230769230769231,0.9020893426852101,4.0,1.5,0.1,False,none
21,Processed,Awake,60,2,66.1320519549569,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.6390629171132456,0.4756932717801771,0.049356959121730715,0.48231594391871435,40.0,0.05,True,higher,0.7040680878070611,0.8488783957249912,0.02553653267877908,0.846540206279856,1.0,0.05,True,lower,0.6379517204971925,0.41888012325215374,0.02208310131960803,0.41747852377981476,40.0,0.05,True,higher,3.723529411764706,2.7255549124413756,0.09879036156725078,2.7239223428759463,40.0,0.05,True,higher,1.0565048896961622,0.8742901934077468,0.06022067672906934,0.8719827894616485,40.0,0.05,True,higher,78.0,37.30769230769231,8.357643353789978,34.0,40.0,0.05,True,higher,0.18138407640255316,0.2843905626455897,0.03573613854361103,0.2843259586312809,1.0,0.05,True,lower,2.0157333333333334,2.065945744065368,0.022657716539538526,2.06344510190664,1.0,0.05,True,lower,3.0,3.641025641025641,0.7775528239689432,4.0,10.5,1.0,False,none
21,Processed,Awake,60,3,66.1320519549569,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.7677965731409663,0.6698923759823188,0.04039745953721766,0.6651996296681527,40.0,0.05,True,higher,0.5346308608253092,0.7084617984997346,0.03218903307106099,0.7160821467097517,1.0,0.05,True,lower,0.675481115323703,0.45970739919005027,0.022831631681946556,0.4606709219177425,40.0,0.05,True,higher,3.654894832511036,2.758494762342527,0.0978831283040254,2.7738063483595625,40.0,0.05,True,higher,1.0961080421787486,0.8714744447199402,0.06328022201427527,0.8772149208705424,40.0,0.05,True,higher,73.0,38.51282051282051,6.176661484856972,37.0,40.0,0.05,True,higher,0.05178288621202668,0.204631677132517,0.03028324460598968,0.20662763353649757,1.0,0.05,True,lower,2.0,2.016004800363436,0.008392928807156962,2.014548566538297,1.0,0.05,True,lower,2.0,3.0,0.0,3.0,1.0,0.05,True,lower
21,Processed,Awake,60,5,95.63524997900372,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.6352557377685973,0.3766523420120342,0.03636869595060015,0.36730518632060644,40.0,0.05,True,higher,0.7013320754402158,0.907585834267322,0.016474502882982835,0.9108350706379862,1.0,0.05,True,lower,0.6470701156596439,0.4241825746360948,0.026775916890038037,0.41920621970533184,40.0,0.05,True,higher,3.918337692531241,2.7170669324918038,0.08098978114230826,2.711660541262947,40.0,0.05,True,higher,1.1850334005587673,0.8913475380776615,0.04941246863040588,0.9011725743809631,40.0,0.05,True,higher,102.0,37.07692307692308,9.189194499332284,35.0,40.0,0.05,True,higher,0.2674089360272592,0.4080358779931655,0.0254095191211078,0.4078802130824975,1.0,0.05,True,lower,2.080268807168191,2.170070219420259,0.02655169035446318,2.1691434094478677,1.0,0.05,True,lower,3.0,4.102564102564102,0.3073547406047281,4.0,1.0,0.05,True,lower
21,Processed,Awake,60,6,95.63524997900372,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.6154123045172333,0.4136790746746334,0.047185451048958535,0.4092472332366237,40.0,0.05,True,higher,0.6998222320036535,0.8859182371550497,0.023164315281944143,0.8920273999026814,1.0,0.05,True,lower,0.6604597590824015,0.4238700142621052,0.01630718463323365,0.4250131976772088,40.0,0.05,True,higher,3.7488422773086354,2.6735831461773385,0.07534487944984293,2.657410202233625,40.0,0.05,True,higher,1.1268954819268264,0.8720753684563445,0.05079566404630665,0.865362541409181,40.0,0.05,True,higher,105.0,35.41025641025641,8.622851978801044,34.0,40.0,0.05,True,higher,0.3284301962854538,0.4103917710482955,0.024617049429004504,0.41395114459855065,1.0,0.05,True,lower,2.0104289071680377,2.1311165678636215,0.02340833704899711,2.1345467523197716,1.0,0.05,True,lower,3.0,4.0256410256410255,0.4284107403918941,4.0,2.0,0.15,False,none
21,Processed,Awake,60,7,95.63524997900372,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.5880393720030048,0.3766614972285643,0.05006060023806686,0.38093565165919085,40.0,0.05,True,higher,0.7220439993820942,0.9093879116631292,0.021328476612935285,0.9105117161271055,1.0,0.05,True,lower,0.6095887123866199,0.4096928171411063,0.018876174719230726,0.4078802130824975,40.0,0.05,True,higher,3.839782345828295,2.705460178336124,0.09089729049522839,2.7038745387453873,40.0,0.05,True,higher,1.222265773895579,0.8820722503321422,0.05780008770444422,0.8786200728101714,40.0,0.05,True,higher,69.0,36.35897435897436,7.798404625938023,34.0,40.0,0.05,True,higher,0.23067140183327733,0.3900279704618141,0.030607404720202694,0.39283486106445265,1.0,0.05,True,lower,2.028059071729958,2.1452457006828265,0.031659096794875434,2.1453208556149734,1.0,0.05,True,lower,5.0,5.0256410256410255,1.366655146259992,4.0,25.0,1.0,False,none
21,Processed,Awake,60,8,95.63524997900372,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.6235265673730076,0.3750759364198691,0.042990327818598933,0.37962465929471256,40.0,0.05,True,higher,0.7016486984386513,0.9059963582883436,0.019390842820202935,0.9048176607807437,1.0,0.05,True,lower,0.6613715985986467,0.4316471070322392,0.02230485648119546,0.42448529058885637,40.0,0.05,True,higher,3.6768943436499466,2.666180479048651,0.07843631129596669,2.6792394014962593,40.0,0.05,True,higher,1.055814760798127,0.848100937822583,0.05358265912538765,0.8519117992426558,40.0,0.05,True,higher,96.0,36.333333333333336,7.938359015542767,34.0,40.0,0.05,True,higher,0.28754139271488216,0.431460063028907,0.036375540354704354,0.43321975332341506,1.0,0.05,True,lower,2.0072026800670018,2.1441484326040143,0.037464813129351446,2.1429112964366945,1.0,0.05,True,lower,3.0,4.82051282051282,1.2111715700922516,4.0,1.0,0.05,True,lower
21,Processed,Awake,60,9,95.63524997900372,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.6226599865123168,0.3585591578913257,0.0450013172991389,0.35509556771113676,40.0,0.05,True,higher,0.6902943661506844,0.9160197801112963,0.0187633709688109,0.9142723956342588,1.0,0.05,True,lower,0.5903920909919854,0.4204675361751717,0.019270251253513317,0.4161347602821903,40.0,0.05,True,higher,3.360284075389238,2.624930580789519,0.06266120375647019,2.6214881136153134,40.0,0.05,True,higher,1.1268020302136823,0.8529814983892752,0.0462396123804763,0.8568309273650752,40.0,0.05,True,higher,77.0,36.02564102564103,7.4072765770422615,35.0,40.0,0.05,True,higher,0.34225176368959065,0.4600599525252787,0.0264274357862842,0.45615971589000337,1.0,0.05,True,lower,2.0572623683830953,2.2048550077655995,0.03381165999157311,2.205290469560815,1.0,0.05,True,lower,3.0,4.3076923076923075,0.6136108038679583,4.0,1.0,0.05,True,lower
21,Processed,Awake,60,10,95.63524997900372,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.5594495804313746,0.33481140348645927,0.04059900932363736,0.3371482192884864,40.0,0.05,True,higher,0.7299404310546808,0.9293083833401881,0.019773999849935414,0.931774486105768,1.0,0.05,True,lower,0.5763785573739022,0.39513537925017506,0.015376165602398075,0.3932427892690886,40.0,0.05,True,higher,3.523027280727486,2.627397217918411,0.06985587776107216,2.6283398378865206,40.0,0.05,True,higher,1.101027350984911,0.843077539348792,0.04719330857374789,0.8437773107546815,40.0,0.05,True,higher,67.0,34.58974358974359,6.683514473837647,33.0,40.0,0.05,True,higher,0.2675289149109757,0.40766548164446137,0.03339615438839513,0.40094543360368573,1.0,0.05,True,lower,2.059290727742889,2.1589203698455246,0.022524394910390825,2.1607376405963903,1.0,0.05,True,lower,3.0,4.17948717948718,0.6013928951234737,4.0,1.0,0.05,True,lower
21,Processed,Awake,60,11,95.63524997900372,25.000000000022737,8,0.16,4,18,4.0,100,1.0,25,39,2026,0.5885787089023768,0.30794868637921663,0.03183805519974158,0.30322798234564796,40.0,0.05,True,higher,0.7258243856334018,0.9425720070154259,0.01347972945812148,0.9450057200990452,1.0,0.05,True,lower,0.5594375389931372,0.3901110327659255,0.01956513473028033,0.3906032538273264,40.0,0.05,True,higher,3.6405371642723297,2.56994989725316,0.08288147470913641,2.561542991755006,40.0,0.05,True,higher,1.0975070058369334,0.8213555003311387,0.057798581013240195,0.8221320616689656,40.0,0.05,True,higher,82.0,34.02564102564103,7.7578048288470836,33.0,40.0,0.05,True,higher,0.33786053654556797,0.4523271596506707,0.025923662416231893,0.4566636272016125,1.0,0.05,True,lower,2.0590816028078387,2.214692360191542,0.034651708672422246,2.2147908426225578,1.0,0.05,True,lower,3.0,4.435897435897436,0.6405126152203485,4.0,1.0,0.05,True,lower
